code;label-fr_FR;parent
master;Master catalog;
abbaye_de_sept_fons;Abbaye de Sept Fons;master
adoussissants_et_assouplisssants;Adoucissants et assouplissants;master
aides_a_la_patisserie;Aides à la pâtisserie;master
algamaris;Algamaris;master
alimentation;Alimentation;master
alimentation_pour_bebe;Alimentation pour bébé;master
animalerie_bio;Animalerie bio;master
aperitifs_et_entrees;Apéritifs et entrées;master
apres_shampoings_et_soins;Apres_shampoings et Soins;master
apres_shampoings_et_soins_capillaires;Après_shampoings et soins capillaires;master
apres_soleil_et_autobronzants;Après_soleil et autobronzants;master
arcadie;Arcadie;master
argiletz;Argiletz;master
aromatherapie;Aromathérapie;master
autour_du_riz;Autour Du Riz;master
autres_farines;Autres farines;master
autres_laits_vegetaux;Autres laits végétaux;master
autres_riz;Autres riz;master
avril;Avril;master
babybio;Babybio;master
bain_et_soin_du_bebe;Bain et soin du bébé;master
barres_de_cereales;Barres de céréales;master
beaute;Beauté;master
beaute_hygiene;Beauté & Hygiène;master
best_selling_products_1;Best Selling Products;master
bien_etre_et_detente;Bien_être et détente;master
bieres_et_cidres_bio;Bières et cidres bio;master
bio_planete;Bio Planete;master
bio_sorelia;Bio Sorelia;master
bioconseils;Bioconseils;master
bioporc;Bioporc;master
biorganica_nuova;Biorganica Nuova;master
biscuiterie_de_provence;Biscuiterie de Provence;master
biscuits;Biscuits;master
biscuits_au_chocolat_et_aux_fruits;Biscuits au chocolat et aux fruits;master
biscuits_petit_dej_et_enfants;Biscuits Petit Dej et enfants;master
biscuits_pour_bebe;Biscuits pour bébé;master
blanchissants_et_detachants;Blanchissants et détachants;master
boissons_au_riz;Boissons au Riz;master
boissons_petit_dejeuner;Boissons petit déjeuner;master
boissons_vegetales;Boissons végétales;master
laits_vegetaux;Boissons végétales;master
bonamel;Bonamel;master
bouillies_et_cereales;Bouillies et céréales;master
bouillies_cereales_et_biscuits;"Bouillies, céréales et biscuits";master
cacao_chocolat_en_poudre;"Cacao, chocolat en poudre";master
cafe_et_substituts;Café et substituts;master
cafe_et_thes;Café et thés;master
cafe_michel;Café Michel;master
cafe_moulu;Café moulu et en grains;master
cafe_thes_et_infusions;"Café, Thés et Infusions";master
cafes_substituts_et_cacao_en_poudre;"Cafés, substituts et cacao en poudre";master
cakes_et_moelleux;Cakes et moelleux;master
cereales;Céréales;master
cereales_en_vrac;Céréales en vrac;master
cereales_enfants;Céréales enfants;master
cereales_et_flocons;Céréales et flocons;master
cereales_et_legumineuses_en_vrac;Céréales et légumineuses en vrac;master
cereales_petit_dejeuner;Céréales petit déjeuner;master
rooibos_chai_et_autres_thes;Chaï et autres thés;master
charitea;ChariTea;master
chocolat;Chocolat;master
chocolat_au_lait;Chocolat au lait;master
chocolat_noir;Chocolat noir;master
colorations_vegetales;Colorations végétales;master
commerce_equitable;Commerce équitable;master
complements_alimentaires;Compléments alimentaires;master
compotes;Compotes;master
compotes_et_tartinables;Compotes et tartinables;master
condiments_et_aides_culinaires;Condiments et aides culinaires;master
condiments_et_sauces;"Condiments, épices et sauces";master
confit_de_provence;Confit de Provence;master
confitures_et_pates_a_tartiner;Confitures et pâtes à tartiner;master
confiture_miel_et_tartinables;"Confitures miels et pâtes à tartiner";master
legumes_au_naturel;Conserves et légumes au naturel;master
cook;Cook;master
coslys;Coslys;master
coteaux_nantais;Côteaux Nantais;master
cotons_et_lingettes;Cotons et lingettes;master
couches_ecologiques;Couches écologiques;master
couches_et_change;Couches et change;master
couches_et_culottes;Couches et culottes;master
cremes_de_change_et_liniments;Crèmes de change et liniments;master
cremes_et_soins;Crèmes et soins;master
cremes_et_soins_1;Crèmes et soins du cheveu;master
cremes_solaires;Crèmes solaires;master
cremes_vegetales;Crèmes végétales;master
croustisud;Croustisud;master
cruelty_free;Cruelty Free;master
culottes_dapprentissage;Culottes d'apprentissage;master
danival;Danival;master
deodorants;Déodorants;master
desserts_et_gourdes;Desserts et gourdes;master
desserts_pret_a_cuisiner;Desserts prêt_à_cuisiner;master
digestion_et_transit;Digestion et transit;master
douce_nature;Douce Nature;master
douche_et_bain;Douche et Bain;master
droguerie_ecologique;Droguerie écologique;master
eaux_florales;Eaux florales;master
ecodoo;Ecodoo;master
ecomil;EcoMil;master
ecover;Ecover;master
emile_noel;Emile Noel;master
entretien_de_la_maison;Entretien de la Maison;master
entretien_et_linge;Entretien et Linge;master
epicerie_salee;Épicerie salée;master
epicerie_sucree;Épicerie sucrée;master
epices_et_aromates;Épices et aromates;master
eponges;Eponges;master
etamine_du_lys;Etamine du Lys;master
fait_en_france;Fait en France;master
farines;Farines;master
farines_de_cereales;Farines de céréales;master
flocons_de_cereales;Flocons de céréales;master
fruits_a_coque;Fruits à coque;master
fruits_confits_et_seches;Fruits confits et séchés;master
fruits_secs_en_vrac;Fruits secs en vrac;master
fruits_secs_et_purees;Fruits Secs et purées;master
fruits_secs_et_seches_en_vrac;Fruits secs et séchés en vrac;master
galettes_a_cuire_et_sachets_cuisines;Galettes à cuire et sachets cuisinés;master
galettes_de_riz_et_de_cereales;Galettes de riz et de céréales;master
galettes_et_sables;Galettes et sablés;master
gel_douches;Gel Douches;master
graines_a_germer;Graines à germer;master
graines_en_vrac;Graines en vrac;master
graines_et_cereales_en_vrac;Graines et céréales en vrac;master
graines_et_legumineuses;Graines et légumineuses;master
graines_oleagineuses;Graines oléagineuses;master
graines_pret_a_cuisiner;Graines prêt_à_cuisiner;master
grillon_dor;Grillon d'or;master
holle;Holle;master
huiles;Huiles;master
huiles_essentielles;Huiles essentielles;master
huiles_essentielles_1;Huiles essentielles;master
huiles_et_vinaigres;Huiles et vinaigres;master
huiles_vegetales;Huiles végétales;master
hygiene;Hygiène;master
hygiene_bucco_dentaire;Hygiène bucco_dentaire;master
hygiene_et_change;Hygiène et change;master
if_you_care;If You Care;master
infusions;Infusions;master
infusions_bien_etre;Infusions Bien_Être;master
infusions_de_plantes;Infusions de plantes;master
iswari_bio;Iswari;master
jean_herve;Jean Hervé;master
jus_de_fruits;Jus de fruits;master
jus_de_fruits_et_de_legumes_1;Jus de fruits et de légumes;master
jus_de_legumes;Jus de légumes;master
jus_du_matin;Jus du matin;master
jus_de_fruits_et_de_legumes;"Jus, sirops et soda";master
kaoka;Kaoka;master
khadi;Khadi;master
la_bio_idea;La Bio Idea;master
la_corvette_1;La Corvette;master
laits;Laits;master
laits_damande;Laits d'amande;master
laits_davoine;Laits d'avoine;master
laits_infantiles;Laits infantiles;master
boissons;Laits végétaux et Boissons;master
laits_bouillies_et_cereales_bebe;"Laits, bouillies et céréales bébé";master
lamazuna;Lamazuna;master
lavera;Lavera;master
le_guerandais;Le Guérandais;master
le_moulin_du_pivert;Le Moulin du Pivert;master
le_pain_des_fleurs;Le Pain des Fleurs;master
le_phare_deckmuhl;Le Phare d'Eckmuhl;master
legumes;Légumes;master
legumes_cuisines;Légumes cuisinés;master
legumineuses;Légumineuses;master
legumineuses_en_vrac;Légumineuses en vrac;master
les_accents_du_soleil;Les Accents du Soleil;master
les_essentiels;Les essentiels;master
best_selling_products;Les meilleures ventes;master
nouveautes;Les nouveautés de La Fourche;master
lessives_en_poudre_et_en_copeaux;Lessives en poudre et en copeaux;master
lessives_et_soin_du_linge;Lessives et soin du linge;master
lessives_liquides;Lessives liquides;master
life_food;Life Food;master
lima;Lima;master
lingettes_et_cotons;Lingettes et cotons;master
lingettes_intimes;Lingettes et hygiène intime;master
logona;Logona;master
marques_ma_vie_sans_gluten;Ma Vie Sans Gluten;master
maison_meneau;Maison Meneau;master
maquillage;Maquillage;master
markal;Markal;master
miels;Miels;master
miso_et_specialites_vegetaliennes;Miso et spécialités végétaliennes;master
moulin_des_moines;Moulin des Moines;master
moutardes;Moutardes et ketchup;master
muesli_et_granola;Muesli & granola;master
natali;Natali;master
natracare;Natracare;master
nature_cie;Nature & Cie;master
newest_products_1;Newest Products;master
notre_catalogue;Notre catalogue complet;master
pains;Pains;master
pains_et_galettes;Pains et galettes;master
pains_et_petit_dejeuner;Pains et Petit Déjeuner;master
pains_et_tartinables;Pains et tartinables;master
pains_petit_dej;Pains Petit dej;master
pates;Pâtes;master
pates_aux_legumes_et_parfumees;Pâtes aux légumes et parfumées;master
pates_blanches;Pâtes blanches;master
pates_en_vrac;Pâtes en vrac;master
pates_en_vrac_1;Pâtes en vrac;master
pates_et_produits_de_la_mer;Pâtés et produits de la mer;master
pates_semi_completes_et_completes;Pâtes semi_complètes et complètes;master
pates_speciales_et_sans_gluten;Pâtes spéciales et sans gluten;master
pates_riz_graines_et_cereales;"Pâtes, riz, graines et céréales";master
patisserie_farines_et_pains;"Pâtisserie, farines et pains";master
petit_dejeuner;Petit déjeuner;master
petits_pots_de_fruits;Petits pots de fruits;master
petits_pots_et_repas;Petits pots et repas;master
petits_repas_sales;Petits repas salés;master
petits_repas_sucres;Petits repas sucrés;master
plats_prepares;Plats préparés;master
plats_pret_a_cuisiner;Plats prêt_à_cuisiner;master
pommia;Pommia;master
preparations_pour_desserts;Préparations pour desserts;master
preparations_pour_pains;Préparations pour pains;master
primeal;Priméal;master
produits_aperitifs;Produits apéritifs;master
produits_bebe;Produits Bébé;master
produits_dentretien;Produits d'entretien;master
produits_de_la_ruche_bio;Produits de la ruche;master
produits_nettoyants;Produits nettoyants;master
produits_vaisselle;Produits Vaisselle;master
produits_wc;Produits WC;master
prosain;ProSain;master
protection_solaire;Protection solaire;master
puraloe;Pur'Aloe;master
pural;Pural;master
purees_de_fruits_secs;Purées de fruits secs;master
quinoa;Quinoa;master
repas_8_mois_et_plus;Repas 8 mois et plus;master
repas_des_4_6_mois;Repas dès 4_6 mois;master
riz;Riz;master
riz_long_grain;Riz long grain;master
riz_thai_et_basmati;Riz thaï et basmati;master
sans_gluten;Sans gluten;master
sante_et_bien_etre_bio;Santé et bien être;master
sauce_soja_et_asiatiques;Sauce soja et asiatiques;master
sauces_et_condiments;Sauces et condiments;master
sauces_tomates_et_pesto;Sauces tomates et pesto;master
savons;Savons;master
schmidts;Schmidts;master
semoules_couscous_et_boulgours;"Semoules, couscous et boulgours";master
shampoings;Shampoings;master
shampoings_et_soins_des_cheveux;Shampoings et soins des cheveux;master
sirops_et_soda;Sirops et soda;master
soins_capillaires_et_gels;Soins capillaires et Gels;master
soins_capillaires_et_gels_1;Soins capillaires et gels;master
soins_du_cheveu;Soins du cheveu;master
soins_et_hygiene;Soins et Hygiène;master
soupes;Soupes et gaspachos;master
sucres_et_aides_a_la_patisserie;Sucres et aides à la pâtisserie;master
sucres_et_edulcorants;Sucres et édulcorants;master
super_aliments;Super_aliments;master
super_aliments_essentiels_bio;Super_aliments essentiels;master
super_aliments_petit_dejeuner_bio;Super_aliments petit déjeuner;master
superfruits_bio;Superfruits;master
tartines_et_biscottes;Tartines et biscottes;master
the_bridge;The Bridge;master
the_et_infusions_petit_dej;Thé et infusions Petit Dej;master
thes_et_infusions;Thés et infusions;master
eau_de_coco;Thés froids et eau de coco;master
thes_glaces_eau_de_coco_sodas;"Thés glacés, eau de coco, sodas";master
thes_noirs;Thés noirs;master
thes_verts;Thés verts;master
tidoo;Tidoo;master
touch_organic;Touch Organic;master
tva20;TVA20%;master
tva5_5;TVA5.5%;master
vegan;Vegan;master
vinaigres;Vinaigres;master
vitabio;Vitabio;master
vitalite_et_tonus;Vitalité et tonus;master
vitamont;Vitamont;master
vrac;Vrac;master
weleda;Weleda;master
yogi_tea;Yogi Tea;master
